symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sh600460,600460,士兰微,29.780,-1.4,-4.49,29.780,29.790,31.180,31.010,31.460,29.780,79997583,2445221489,15:00:00,-1489.0,4.109,4955605.95441,4955605.95441,4.80734
sh600489,600489,中金黄金,12.570,0.01,0.08,12.570,12.580,12.560,12.610,12.970,12.560,84191696,1072102137,15:00:00,20.607,2.286,6093071.892948,6093071.892948,1.73687
sh600515,600515,海南机场,3.940,-0.02,-0.505,3.930,3.940,3.960,3.960,4.100,3.920,128629909,516292885,15:00:00,47.242,1.923,4501571.983188,3615348.928152,1.40181
sh600519,600519,贵州茅台,1559.000,-14.8,-0.94,1559.000,1559.010,1573.800,1569.000,1583.800,1553.000,3376112,5295326892,15:00:00,26.206,8.239,195841237.02,195841237.02,0.26876
sh600547,600547,山东黄金,24.840,0.09,0.364,24.840,24.850,24.750,24.820,25.280,24.820,29692919,742458507,15:00:01,59.143,4.58,11111998.9401,8978277.273948,0.82151
sh600570,600570,恒生电子,29.820,-1.84,-5.812,29.810,29.820,31.660,31.340,32.150,29.810,94799819,2929099724,15:00:01,39.76,6.873,5648339.71905,5648339.71905,5.00489
sh600584,600584,长电科技,43.190,0.1,0.232,43.190,43.200,43.090,43.880,46.450,43.010,108336661,4826996862,15:00:01,52.671,2.881,7728481.52783,7728481.52783,6.05431
sh600585,600585,海螺水泥,25.670,-0.48,-1.836,25.670,25.690,26.150,26.150,26.290,25.670,14901588,387715559,15:00:01,13.03,0.733,13603309.720293,10267236.520293,0.37257
sh600588,600588,用友网络,13.000,-0.1,-0.763,12.990,13.000,13.100,12.980,13.640,12.950,78546437,1044103613,15:00:00,-44.828,5.085,4442096.6317,4442096.6317,2.2987
sh600600,600600,青岛啤酒,73.350,0.35,0.479,73.350,73.360,73.000,73.000,75.280,72.140,5889121,434758390,15:00:01,23.367,3.358,10006383.43998,5200741.966905,0.83059
sh600660,600660,福耀玻璃,57.380,0.13,0.227,57.380,57.390,57.250,57.100,58.300,56.660,13998918,805371033,15:00:00,26.565,4.484,14974708.386616,11493135.573016,0.6989
sh600674,600674,川投能源,16.670,-0.17,-1.01,16.670,16.680,16.840,16.840,16.940,16.670,23879493,401151316,15:00:00,16.9,1.932,8125969.582276,8125969.582276,0.48988
sh600690,600690,海尔智家,29.590,-0.34,-1.136,29.580,29.590,29.930,29.830,30.160,29.070,50083195,1487942141,15:00:01,16.531,2.54,27764040.555306,18507068.740105,0.80075
sh600732,600732,爱旭股份,15.100,-0.32,-2.075,15.100,15.110,15.420,15.390,16.180,14.760,88888762,1360118815,15:00:00,35.952,4.517,2759969.50172,2411617.38053,5.56564
sh600741,600741,华域汽车,16.920,0.08,0.475,16.910,16.920,16.840,16.750,17.090,16.650,34690842,585948850,15:00:01,7.395,0.887,5334408.980928,5334408.980928,1.10035
sh600745,600745,闻泰科技,42.930,-2.67,-5.855,42.930,42.940,45.600,45.540,45.850,42.850,42821870,1888549229,15:00:01,45.189,1.484,5340932.654985,5340932.654985,3.44199
sh600760,600760,中航沈飞,50.450,-1.68,-3.223,50.450,50.460,52.130,51.860,52.690,50.450,44147696,2277620330,15:00:01,46.284,8.713,13902504.043085,13847197.221585,1.60845
sh600795,600795,国电电力,4.760,-0.04,-0.833,4.750,4.760,4.800,4.800,4.830,4.750,115487669,552475984,15:00:03,15.159,1.479,8489754.683032,8489754.683032,0.64751
sh600803,600803,新奥股份,19.030,-0.16,-0.834,19.030,19.040,19.190,19.350,19.410,19.030,8599001,165506984,15:00:00,8.274,2.6,5893757.716121,5404265.159755,0.3028
sh600809,600809,山西汾酒,216.820,-4.39,-1.985,216.820,216.830,221.210,220.020,222.830,216.100,6672259,1464591123,15:00:01,25.321,7.812,26451264.261404,26451264.261404,0.54692
sh600837,600837,海通证券,11.620,-0.39,-3.247,11.620,11.630,12.010,12.000,12.110,11.610,102660593,1217666635,15:00:01,145.25,0.942,15180600.4,11218681.43116,1.06333
sh600845,600845,宝信软件,28.650,-0.35,-1.207,28.640,28.650,29.000,28.980,29.620,28.610,22227982,646062698,15:00:00,26.454,7.411,8263833.518325,6077106.85749,1.04792
sh600875,600875,东方电气,15.680,-0.19,-1.197,15.680,15.690,15.870,15.850,16.000,15.670,22195227,351016829,15:00:03,13.754,1.271,4888239.148576,3172540.764512,1.09698
sh600886,600886,国投电力,15.390,-0.03,-0.195,15.380,15.390,15.420,15.400,15.590,15.290,25638854,396363408,15:00:00,17.581,2.036,11471982.707583,10720479.081033,0.36806
sh600887,600887,伊利股份,29.290,-0.32,-1.081,29.280,29.290,29.610,29.570,29.950,29.230,48275045,1429803457,15:00:00,17.86,3.316,18645903.591345,18553661.924111,0.7621
sh600893,600893,航发动力,41.900,-1.81,-4.141,41.900,41.910,43.710,43.500,43.720,41.770,27511159,1172771369,15:00:00,79.057,2.805,11168839.85722,11166872.73602,1.03227
sh600900,600900,长江电力,27.100,-0.32,-1.167,27.100,27.110,27.420,27.370,27.490,27.100,93580893,2550153940,15:00:00,24.344,3.151,66308870.01036,65059665.12313,0.3898
sh600905,600905,三峡能源,4.670,-0.02,-0.426,4.670,4.680,4.690,4.680,4.740,4.660,123661838,581066817,15:00:01,18.613,1.561,13365882.092444,13349595.016322,0.4326
sh600918,600918,中泰证券,6.880,-0.22,-3.099,6.870,6.880,7.100,7.100,7.130,6.880,44281499,310819628,15:00:03,28.667,1.289,4794414.520128,2733293.155472,1.11461
sh600919,600919,江苏银行,8.990,-0.04,-0.443,8.990,9.000,9.030,9.030,9.150,8.950,124183526,1124427536,15:00:01,5.32,0.71,16497840.692237,16497840.692237,0.6767
sh600926,600926,杭州银行,13.980,-0.13,-0.921,13.980,13.990,14.110,14.090,14.230,13.900,30273050,426112378,15:00:01,6.052,0.784,8386781.120148,7682073.086148,0.55092
sh600938,600938,中国海油,25.660,-0.49,-1.874,25.660,25.670,26.150,26.190,26.190,25.540,77767956,2008192481,15:00:03,9.869,1.697,121961861.92294,7292191.854798,2.73652
sh600941,600941,中国移动,105.030,1.37,1.322,105.030,105.040,103.660,103.400,108.000,103.220,26765828,2821185464,15:00:00,17.05,1.703,225639128.02703,7967815.972101,3.52821
sh600958,600958,东方证券,10.800,-0.48,-4.255,10.790,10.800,11.280,11.200,11.390,10.790,98944215,1095682244,15:00:00,36.0,1.203,9176376.91536,8029410.7032,1.33085
sh600989,600989,宝丰能源,15.760,0.3,1.94,15.760,15.770,15.460,15.510,15.980,15.420,31034130,490561857,15:00:01,20.468,2.794,11557375.36,11557375.36,0.42319
sh600999,600999,招商证券,19.800,-0.79,-3.837,19.790,19.800,20.590,20.550,20.660,19.790,48991878,990181027,15:00:01,21.064,1.552,17219123.07588,14695570.43856,0.66009
sh601006,601006,大秦铁路,6.800,0.07,1.04,6.790,6.800,6.730,6.720,6.850,6.700,120537792,818222612,15:00:03,8.608,0.807,12415559.43588,12415559.43588,0.66019
sh601009,601009,南京银行,10.280,-0.1,-0.963,10.280,10.290,10.380,10.350,10.450,10.260,36381289,376681025,15:00:01,6.119,0.722,11063120.674092,9900341.380756,0.37776
sh601012,601012,隆基绿能,18.520,-0.67,-3.491,18.520,18.530,19.190,19.190,19.380,18.500,142101284,2694306667,15:00:00,13.042,2.254,14034539.634468,14034525.659276,1.87517
sh601021,601021,春秋航空,56.260,1.02,1.846,56.230,56.260,55.240,55.250,56.640,55.120,4857400,272887032,15:00:01,24.355,3.108,5505315.57693,5505315.57693,0.49639
